pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
"Çig, M. & H. Kizilyay - Eski Babil Devrine Ait Yeni Tarihleri İhtiva Eden Veya Formülleri Eski Tarihlere Varyant Teşkil Eden Beş Tablet. Belleten 26 (101), 1962 1-44 (1)",14,p14_c2_b2,"5. € e[-ri-is-]t![aluk]ur dnin.urta
6dumu.m[i dnusku-b-ni]
7. ki e-ri-i[5-tum lukur ""nin.urta]
8 dba.bag -h[e.gál lukur dnin.urta]
9dumu. mi[. ....
10. in.i.[in.ám]
11. Sam4m [til.la.bi.s€]
12.12[gin kù.babbar}
13.in.n{a.an.la]
14. ud.kúr.è e-r[i-is-tum]
15. u ibila.ni a.n{a me.a.bi}
Rs.
16. é.bi.se dba.bag-hc.gal[.ra]
17. gù.nu.um.gà.gà.dè[ ..]
18. e-r[i-if-tum lukur dnin.urta]
19. mu lugal.[bi in.pàd]
20.igi lú-d[.
21. ii lugal-x[. . . . . . .
22. igi lugal-x[ . . . .
23. igi bi-tu[m ...
24. igi arad-dEN. [....
25. igi µa-at-[. .
26. igi hu-un-d [u-ul-tum dumu za-zi-ia]
27. igi a-ha-tu[m ..
28. igi be-ta-tum lukur du[mu.mi ...
29. igi la-al-la-a[ . . . . . . . . . . . . . . . ]
30. itu [apin.d]us .a
31. m[u ús.sa d]da-mi-iq-- i-li-5u lugal.e
32.[ gi.§u.]nir gukin 2.a.bi
33. [ikur] dinanna DU.A.NU.KI.ra
34:{mu.]ne.en.dím.ma
Vs.
d
I. :1{2 s[ar] z[+ x g]in bebautes Hausgrundstiick im Stiftsdamen-
Ort,
2. eine zena-Tur","814,137,1577,2124",2,p14_c3_b3,"BTT YNTE 
23
.]
Siegelabdruck:
I. e-ri-is-tum
2. dumu.mi anusku—b¯-ni",it,"1001,87,2059,1963",3,0.4900130188020387,447.4530701649057,False,False,True
